Last Name,Grantor Tier,Grantor Stage,Wayleave Signed
CB1 Limited,Tier-2,,0
C Beamish Limited,Tier-2,Initial Grantor Engagement,0
CB Freeholders Limited,Tier-2,Wayleave Negotiation Commenced,0
CBN (GB) Limited,Tier-2,,0
CC Continental Superstores Limited,Tier-2,Newly Listed Grantor,0
CCHP 4 Limited,Tier-2,Wayleave Signed,0
CCIF (Gloucester) Limited,Tier-1,,0
CCL Develco 4 Limited,Tier-2,,0
CCM Investments Limited,Tier-2,,0
CCM Property Investments Limited,Tier-2,,0
C Cole Limited,,Newly Listed Grantor,0
CC Properties (Yorkshire) Limited,Tier-2,,0
C C Properties (Yorkshire) Ltd,Tier-2,Newly Listed Grantor,0
CC Properties Investment Ltd,Tier-2,,0
C-C Property Investment Limited,Tier-2,Newly Listed Grantor,0
CCS Holdings Limited,,,0
CCS Property (Llandeilo) Limited,Tier-2,,0
CD & G Developments Limited,Tier-2,,0
CDD Property Services Limited,Tier-2,Wayleave Signed,0
CDF Properties Investment Limited,,Newly Listed Grantor,0
CDH Properties Ltd,Tier-2,Newly Listed Grantor,0
CDP Developments Limited,Tier-2,Initial Grantor Engagement,0
Cecil Court Ponteland Management Limited,,Newly Listed Grantor,0
Cecil House Management Limited,Tier-2,,0
Cecil House Properties Limited,Tier-2,,0
Cecil Road Management Limited,Tier-2,Newly Listed Grantor,0
CEC Services Limited,,Newly Listed Grantor,0
Cedar Court (Maidenhead) Residents Association Limited,Tier-2,Newly Listed Grantor,0
Cedar Court (Middleton-on-Sea) Limited,Tier-2,Newly Listed Grantor,0
Cedar Court (Western Boulevard) Limited,Tier-2,,0
Cedar Court (Windsor) Limited,Tier-2,,0
Cedar Court Management Co. (Leicester) Limited,Tier-2,,0
Cedar Grange (Poole) Management Company Limited,Tier-1,Initial Grantor Engagement,0
Cedar Grove (Leamington Spa) Residents Association Limited,Tier-2,,0
Cedar House (Cheltenham) Management Company Limited,Tier-2,,0
Cedar House (Ipswich) Limited,Tier-2,Initial Grantor Engagement,0
Cedar Lodge Management Company Limited,Tier-2,Newly Listed Grantor,0
Cedar Mansions Management Limited,Tier-2,,0
Cedar Park Management (53-56) 2009 Limited,Tier-2,,1
Cedar Property Developments Limited,Tier-2,,0
Cedars (Orchard House) Management Company Limited,Tier-2,,0
Cedarsouth Limited,Tier-2,,0
Cedarvern Developments Limited,Tier-2,,0
Cedarwood Residents Management Limited,Tier-2,,0
Cedra Court Freehold Limited,Tier-2,Wayleave Signed,0
Celtic House (Cambridge) Management Limited,Tier-2,,0
Celtic Property Services Limited,Tier-2,,0
Celuclad Holdings Limited,Tier-2,,0
Centenary Court Maintenance Limited,Tier-2,,0
Centenary House Ltd,Tier-2,,0
Centerland Limited,Tier-2,,0
Central & Provincial Developments Limited,Tier-2,Initial Grantor Engagement,0
Central And National Development Ltd,Tier-2,Newly Listed Grantor,0
Central Bedfordshire Council,Local Authority,Wayleave Terms Agreed,0
Centralbid Residents Management Limited,Tier-2,Newly Listed Grantor,0
Central Business and Technology Park Management Company Limited,Tier-2,Newly Listed Grantor,0
Central England Co-Operative Limited,Tier-2,,0
Central Facilities Limited,Tier-2,,0
Central House Crawley (Resi) LLP,Tier-2,,0
Central Midlands Estates Limited,Tier-2,,0
Central Properties (Leeds) Limited,Tier-2,,0
Central Properties (UK) Limited,,Newly Listed Grantor,0
Centraltop Property Management Limited,Tier-2,,0
Centrepoint Soho,Tier-2,Newly Listed Grantor,0
Centrick Limited c/o Homer Road (Solihull) LLP,Tier-2,Wayleave Signed,0
Centro Group Limited,Tier-2,Wayleave Negotiation Commenced,0
Centron Homes Northampton Limited,Tier-2,Wayleave Signed,1
Centurion City Capital Limited,,Newly Listed Grantor,0
Centurion Construction Limited,,Newly Listed Grantor,0
Centurion Investments (BV) Ltd,Tier-2,Newly Listed Grantor,0
Centurion Investments (Js Ix) Ltd,Tier-2,Newly Listed Grantor,0
Century Assets Ltd,Tier-2,Newly Listed Grantor,0
Century Court (Hayling Island) Limited,Tier-2,,0
Century Developments & Property Management Limited,Tier-2,Newly Listed Grantor,0
Century Grove Limited,Tier-2,,0
Century Homes Limited,Tier-2,Wayleave Signed,0
Centurytouch Limited,Tier-2,,0
CEP CBRE UK Property Nominee 1 Limited,Tier-2,Initial Grantor Engagement,0
CEPF II Bath Limited,,,0
CEPF II Regatta 1 S. A R.L.,Tier-2,,0
Cep Kames Ukpf Nominee 1 Limited,Tier-2,,0
Ceres Estates Limited,Tier-2,,0
Cerne Court Flat Management Company Limited,Tier-2,,0
Certified Property Limited,,Newly Listed Grantor,0
Certquick Limited,Tier-2,Newly Listed Grantor,0
Cerulean Limited,,Newly Listed Grantor,0
Cestria Holdings Limited,Tier-2,,0
Cestria Limited,Tier-2,,0
Cetza Trustees V3 Limited,Tier-2,Newly Listed Grantor,0
Cex (Franchising) Limited,Tier-2,Newly Listed Grantor,0
CFC 52 Limited,Tier-2,,0
Cfif Nominee Limited,Tier-2,,0
CGC Properties Limited,Tier-2,Wayleave Signed,0
CGR Portfolio Limited,Tier-2,Newly Listed Grantor,0
C G Three Limited,Tier-2,Initial Grantor Engagement,0
Ch2M Limited,Tier-2,,0
Chacewater House (Worcester) Limited,Tier-2,Newly Listed Grantor,0
Chaddesley Grange Management Company Ltd,Tier-2,,0
Chadham Property Management Limited,Tier-2,,0
Chadha Properties Limited,Tier-2,,0
Chadwick Court Limited,Tier-2,Newly Listed Grantor,0
Chadwick Hall Estates Limited,Tier-2,,0
Chaga Properties Limited,Tier-2,Newly Listed Grantor,0
Chain Pier House (Brighton) Limited,Tier-2,,0
Chainstay Limited,Tier-2,Newly Listed Grantor,0
Chalbury (Poole) Limited,Tier-1,Initial Grantor Engagement,0
Chalbury Court Management Limited,Tier-2,,0
Chalcott House Ltd,Tier-2,Newly Listed Grantor,0
Chalfords Limited,Tier-2,,0
Chalgrove Residencies Limited,Tier-2,,0
Chalice Properties Limited,Tier-2,Wayleave Signed,0
Chalkhills Swindon Limited,Tier-2,Newly Listed Grantor,0
Chalkwell Bay Management Company Limited,Tier-2,Newly Listed Grantor,0
Chalkwell Hall Properties Limited,,Newly Listed Grantor,0
Challenge House Limited,Tier-2,Initial Grantor Engagement,0
Challenger Text Limited,Tier-2,,0
Chalmington Limited,Tier-2,,0
Chalvey Park Limited,Tier-2,Wayleave Signed,0
Chalvey Park Management Company Ltd,Tier-1,Wayleave Refused,0
Chamber Estates Limited,Tier-2,Newly Listed Grantor,0
Chamberlain Properties Limited,Tier-2,,0
Chameleon Property Solutions Limited,Tier-2,Newly Listed Grantor,0
Chamfron Properties Limited,Tier-2,,0
Champion Real Estate Ltd,Tier-2,,0
Chancery Lane Investments Limited,Tier-2,Initial Grantor Engagement,0
Chanctonbury Road Hove (Freehold) Limited,Tier-2,,0
Chandec Limited,Tier-2,,0
Chandlers Ford (Poulton Le Fylde) Management Limited,Tier-2,Newly Listed Grantor,0
Chandlers Quay (Phase ii) Management Company Limited,Tier-2,,0
Chandlers Quay Property Management Limited,Tier-2,,0
Chandlers Quay Residents Association Limited,Tier-2,,0
Chandlers Wharf (Leeds) Management Company Limited,Tier-2,,0
Chandos Court (Management) Limited,Tier-1,Initial Grantor Engagement,0
Chandrakant Chimanbhai Patel,Tier-2,Initial Grantor Engagement,0
Chaneys Chartered Surveyors C/O Caversham Wharf (Management) Limited,Tier-2,Wayleave Signed,0
Chaneys Chartered Surveyors C/O Petworth Court Management (Reading) Limited,Tier-2,Wayleave Signed,0
Chaneys Chartered Surveyors on behalf of Adelais Properties Limited,Tier-2,Wayleave Partially Signed,0
Changeideal Residents Management Limited,Tier-2,,0
Chan Khangura Limited,Tier-2,Initial Grantor Engagement,0
Channel Court (Lancing) Management Company Limited,Tier-2,Newly Listed Grantor,0
Channel House Management Limited,Tier-2,,0
Channinngs Hove Limited,,,0
Chantry Close Management Company (Peterborough) Limited,Tier-2,,0
Chantryco Investments Limited,Tier-2,,0
Chantry Management (RTM) Limited,Tier-2,Newly Listed Grantor,0
Chantry Place Management Company Limited,Tier-2,,0
Chantry Vets Limited,,Newly Listed Grantor,0
Chapela Developments Limited,Tier-2,Newly Listed Grantor,0
Chapel Allerton Hall Limited,Tier-2,Wayleave Negotiation Commenced,0
Chapel Ash Estates Limited,Tier-2,,0
Chapel Court (Hightown) Limited,Tier-2,Newly Listed Grantor,0
Chapel Court Management Company (Idle) Limited,Tier-2,,0
Chapel Court Properties Ltd,Tier-2,Newly Listed Grantor,0
Chapelfield Developments Limited,,Newly Listed Grantor,0
Chapelfield GP Limited,,Newly Listed Grantor,0
Chapel Fold 2003 Management Company Limited,Tier-2,Newly Listed Grantor,0
Chapel House Stores Limited,,Newly Listed Grantor,0
Chapel Lane (Wimborne),Tier-2,Wayleave Signed,0
Chapel Mews Management Company Limited,Tier-2,,0
Chapel Mews Properties Limited,Tier-2,,0
Chapel Park Road Management Company Limited,,Newly Listed Grantor,0
Chapel Point Management Company Limited,Tier-1,Unresponsive / No Contact Received,0
Chapman Sands Management Company Limited,Tier-2,Newly Listed Grantor,0
Chapolmar Limited,Tier-2,,0
Chapter Estates Limited,Tier-2,Wayleave Signed,0
Chapter One Management Company Limited,Tier-2,Newly Listed Grantor,0
Charanna Estates Limited,Tier-2,,0
Chardan Court Management Limited,Tier-2,,0
Chargescore Limited,Tier-2,,0
Charing Cross Housing Association Ltd (Glasgow),Tier-2,Newly Listed Grantor,0
Charlbury House Management Company Limited,Tier-2,,0
Charlecombe House Management Company Limited,Tier-2,,0
Charles & Jones Builders Limited,Tier-2,Newly Listed Grantor,0
Charles Bass Limited,Tier-2,,0
Charles Church Developments Limited,Tier-2,,0
Charles Court (Leamington Spa) Residents Association Limited,Tier-2,,0
Charles Court Management Company Limited,Tier-2,,0
Charles Edwin Properties Limited,Tier-2,,0
Charles Gallagher Limited,Tier-2,,0
Charles Higgins Limited,Tier-2,Wayleave Signed,0
Charles Rose Investments Limited,Tier-2,Initial Grantor Engagement,0
Charles Taylor Court Management Limited,Tier-2,Wayleave Terms Issued,0
Charleston House (Nottingham) Limited,Tier-2,Newly Listed Grantor,0
Charles White Limited (Edinburgh),Tier-1,Wayleave Partially Signed,0
Charlford Ltd,Tier-2,Initial Grantor Engagement,0
Charlie and Sons Property Rentals Limited,Tier-2,Initial Grantor Engagement,0
Charlie Watson,Tier-2,,0
Charli Olivia Ledwidge,Tier-2,Initial Grantor Engagement,0
Charliv Limited,Tier-2,Newly Listed Grantor,0
Charlotte Court Management (Poole) Limited,Tier-2,Newly Listed Grantor,0
Charlotte George Limited,Tier-2,,0
Charlotte James Properties Limited,Tier-2,Newly Listed Grantor,0
Charlotte Lodge Freehold Limited,Tier-2,,0
Charlotte Rose House Freehold Limited,Tier-2,,0
Charlton Arms Wellington Limited,Tier-2,,0
Charlton Homes Limited,Tier-2,,0
Charlton House (Bournemouth) Limited,Tier-2,,0
Charlton Lawn Management Company Limited,Tier-2,,0
Charlton Manor (Management) Limited,Tier-2,,0
Charlwood IFA Limited,Tier-2,,0
Charminster (Craneswater) Limited,Tier-1,Initial Grantor Engagement,0
Charminster (Craneswater) Limited,Tier-2,Initial Grantor Engagement,0
Charminster Close Freehold Ltd,Tier-1,Wayleave Negotiation Commenced,0
Charminster Estates Limited,Tier-2,,0
Charmol Interiors Limited,Tier-2,,0
Charmouth Mansions Management Company Limited,Tier-2,Newly Listed Grantor,0
Charnwood (Freehold) Limited,Tier-2,Newly Listed Grantor,0
Charnwood Borough Council,Local Authority,Wayleave Partially Signed,0
Charnwood Court Management Company Limited,Tier-2,,0
Chartcombe Properties Limited,Tier-2,,0
Charterglobe Limited,Tier-2,Newly Listed Grantor,0
Charterglobe Limited,Tier-2,,0
Charterhouse Designs Limited,Tier-2,,0
Charterist Developments Limited,Tier-2,Newly Listed Grantor,0
Charterist Investments Limited,Tier-1,,0
Charterist Properties Limited,Tier-2,Newly Listed Grantor,0
Chartford Arthington Limited,Tier-2,Newly Listed Grantor,0
Chartford Housing Limited,Tier-2,Wayleave Partially Signed,0
Chartquote Limited,,,0
Chartwell (Bournemouth) Management Company Limited,Tier-2,,0
Chartwell Court Limited,Tier-2,Newly Listed Grantor,0
Chartwell Square Properties No 1 Trustee Limited,Tier-2,,0
Charyaar Properties Limited,Tier-2,,0
Chasfar Estates Limited,Tier-2,Newly Listed Grantor,0
Chastanet Property Holdings Limited,Tier-2,Newly Listed Grantor,0
Chatbest Limited,Tier-2,,0
Chatham Maritime Trust,Tier-2,,0
Chatham Row (Maintenance) Limited,Tier-2,,0
Chatsworth (Bournemouth) Management Limited,Tier-2,,0
Chatsworth Branksome Management Limited,Tier-2,Newly Listed Grantor,0
Chatsworth Court (Brighton) Residents Association Limited,Tier-2,Newly Listed Grantor,0
Chatsworth Gardens (Eastbourne) Management Limited,Tier-2,,0
Chatsworth House (Devonshire Place) Limited,Tier-2,,0
Chatsworth House (Leeds) Limited,Tier-2,,0
Chatton Property Services Limited,Tier-2,,0
Chawala Estates Limited,Tier-2,Newly Listed Grantor,0
Chawda Holdings Limited,Tier-2,Newly Listed Grantor,0
Chawlas Limited,Tier-2,Newly Listed Grantor,0
Chaxhill Developments Limited,Tier-2,Newly Listed Grantor,0
Cheapside Estates Limited,Tier-2,Newly Listed Grantor,0
Checkarrow Limited,Tier-2,Newly Listed Grantor,0
Cheema Property Business Limited,Tier-2,Newly Listed Grantor,0
Cheerent Limited,Tier-2,,0
Cheerglade Property Management Limited,Tier-2,,0
Cheerhealth Limited,Tier-2,,0
Chelford Developments Limited,Tier-2,Newly Listed Grantor,0
Chelico Holdings Ltd,Tier-2,Newly Listed Grantor,0
Chellbrook Properties Limited,Tier-2,Newly Listed Grantor,0
Chello Properties Ltd,Tier-2,,0
Chellow Grange Management Company Limited,Tier-2,Newly Listed Grantor,0
Chelmer House (Lancing) Limited,Tier-2,Newly Listed Grantor,0
Chelmsford Court Limited,Tier-2,,0
Chelmsford Court Management Company Limited,Tier-2,,0
Chelmsford Villas Limited,,Newly Listed Grantor,0
Chelone House Management (No 3) Limited,Tier-2,,0
Chelsbury Limited,,Newly Listed Grantor,0
Chelsea Court (Eastbourne) Residents Management Company Ltd C/O Stredder Pearce,Tier-2,Wayleave Signed,0
Chelsea Square Management Limited,Tier-2,,0
Chelseavale Limited,Tier-2,,0
Chelsi Limited,,Newly Listed Grantor,0
Chelsteen Homes Limited,Tier-2,,0
Cheltenham Almshouses & AID CIO,Tier-2,,0
Cheltenham Borough Council,Local Authority,Wayleave Terms Agreed,0
Cheltenham Borough Homes Limited,Tier-1,Wayleave Terms Agreed,0
Cheltenham Construction Limited,,Newly Listed Grantor,0
Cheltenham Estates Limited,Tier-2,Newly Listed Grantor,0
Cheltenham Ymca,Tier-2,,0
Cheltine Limited,Tier-2,,0
Cheltpad Limited,Tier-2,Newly Listed Grantor,0
Chelwood Weston Super Mare Management Company Limited,Tier-2,Newly Listed Grantor,0
Chennells Brook Management Company Limited,Tier-2,Newly Listed Grantor,0
Cheramoor Limited,,,0
Chermont Court Management Limited,Tier-2,,0
Cherrington Court Management Company Limited,Tier-2,Newly Listed Grantor,0
Cherry Court (2008) Limited,Tier-2,,0
Cherry Court Horsham Management Limited,Tier-2,Newly Listed Grantor,0
Cherryflex Property Management Limited,Tier-2,Initial Grantor Engagement,0
Cherry Gardens Management Company Limited,Tier-2,Newly Listed Grantor,0
Cherry Grange Freehold Limited,Tier-2,,0
Cherry Hinton Road Management Company Limited,Tier-2,,0
Cherry Lending Property Subsidary 1 Ltd,Tier-2,,0
Cherry Marton Flat Management Limited,Tier-2,,0
Cherry Tree Court (Felpham) Ltd,Tier-2,Newly Listed Grantor,0
Cherry Tree Court Flats Company Limited,Tier-2,Newly Listed Grantor,0
Cheryl & Co Limited,Tier-2,Newly Listed Grantor,0
Chesford Bridge House Limited,Tier-2,,0
Cheshire Management Company (No 2) Limited,Tier-2,Newly Listed Grantor,0
Cheshire Management Company Limited,Tier-2,Newly Listed Grantor,0
Cheshire West And Chester Borough Council,Local Authority,,0
Chessington Court (Bournemouth) Management Company Limited,Tier-2,Newly Listed Grantor,0
Chester And County Unionist Buildings Limited,Tier-2,Newly Listed Grantor,0
Chester Court (Eastbourne) Management Company Limited,Tier-2,,0
Chester Court (Poulton Le Fylde) Management Company Limited,Tier-2,Newly Listed Grantor,0
Chester Diocesan Board of Finance,Tier-2,,0
Chesterfield Borough Council,Local Authority,,0
Chesterfield House (Eastbourne) Management Company Limited,Tier-2,,0
Chesterfield House Company Limited,Tier-2,Wayleave Signed,0
Chesterfield Royal Hospital NHS Foundation Trust,Tier-1,,0
Chesterhill Investments Limited,Tier-2,,0
Chester House Freehold Limited,Tier-2,,0
Chester Lettings Limited,Tier-2,,0
Chesters Restaurant Limited,Tier-2,Newly Listed Grantor,0
Chesterton Commercial (Hanover) Limited,Tier-2,,0
Chesterton Place Freehold Limited,Tier-2,,0
Chesterton Towers Residents Society Limited,Tier-2,,1
Chestnut Court (Fishbourne) Limited,Tier-2,Newly Listed Grantor,0
Chestnut Court (Leamington Spa) Limited,Tier-2,,0
Chestnut Court (Potternewton) Limited,Tier-2,,0
Chestnut Development Co Limited,Tier-2,,0
Chestnut Lodge Residents Association Limited,Tier-2,Newly Listed Grantor,0
Chestnut Real Estates Limited,Tier-2,,0
Chestnut Walk (Worcester) Management Company Limited,Tier-2,Newly Listed Grantor,0
Chetwynd Management Company Limited,Tier-2,Newly Listed Grantor,0
Cheylesmore Enterprises,Tier-2,,1
Cheylesmore Enterprises Limited,Tier-2,,0
Cheyne Court Limited,,,0
Chichester (Southbank) Management Company Limited,Tier-2,Newly Listed Grantor,0
Chichester And Lancing Properties,Tier-2,Newly Listed Grantor,0
Chichester Close Management Company Limited,Tier-2,,0
Chichester Diocesan Fund And Board Of Finance (Incorporated),Tier-2,,0
Chichester District Council,Local Authority,,0
Chichester Greyfriars Housing Association Limited,Tier-1,,0
Chichester House Estate Ltd,Tier-2,,0
Chichester House Management (Cambridge) Limited,Tier-2,,0
Chichester Park Properties Limited,Tier-2,Newly Listed Grantor,0
Chidham Limited,Tier-2,Newly Listed Grantor,0
Chieftan Properties Limited,Tier-2,Newly Listed Grantor,0
Childcentre Limited,Tier-2,,0
Childs Charitable Trust,Tier-2,,0
Chilmead Properties Limited,,,0
Chiltern and Porlock Flat Management Company Limited,Tier-2,Wayleave Signed,0
Chiltern Court Residents Association Limited,Tier-2,,0
Chiltern Road Residential Limited,Tier-2,,0
Chilton Properties Limited,,Newly Listed Grantor,0
Chilvern Management Company Limited,Tier-2,Wayleave Signed,0
Chime Properties Limited,National,Wayleave Partially Signed,0
Chimera Investments Limited,Tier-2,,0
Chine Crescent House Management Limited,Tier-2,Newly Listed Grantor,0
Chine Developments Limited,Tier-2,,0
Chine Grange Freehold Limited,Tier-1,Initial Grantor Engagement,0
Chine Grange Management Limited,Tier-1,Initial Grantor Engagement,0
Chine Lodge Limited,Tier-2,,0
Chine Mansions Management Limited,Tier-2,Newly Listed Grantor,0
Chine Reach Freehold Limited,Tier-2,,0
Chinese Business Support Limited,Tier-2,,0
Chineside Heights Management Limited,Tier-2,Wayleave Signed,0
Chine View (Branksome) Limited,Tier-2,Newly Listed Grantor,0
Chine View 5 McKinley Road Freehold Limited,Tier-2,,0
C H Investment Company Limited,,,0
Chiny Chin Chin Limited,Tier-2,,0
Chipping Dawson Enterprises Limited,Tier-2,,0
Chipro Lettings Limited,,Newly Listed Grantor,0
Chirquin Limited,Tier-2,Newly Listed Grantor,0
Chislehurst Freehold Limited,Tier-2,,0
Chlodel Carpets & Flooring Limited,Tier-2,,0
CHM (Warwick) Limited,Tier-2,,0
CH Management Consultants Limited,Tier-2,,0
Chobhams Flats Weston Super Mare Management Company Limited,Tier-2,Newly Listed Grantor,0
Chohan Developments Limited,Tier-2,,0
Choice Meats Catering Limited,Tier-2,Newly Listed Grantor,0
Choicepalm Limited,Tier-2,,0
Choicewelcome Property Management Limited,Tier-2,,0
Choongh Properties Ltd,Tier-2,Newly Listed Grantor,0
Chorley Community Housing Limited,Tier-1,,0
Chorley Court Flats (Management) Limited,Tier-2,,0
Chorlton Construction Services Ltd,Tier-2,,0
Chorlton Trust Limited,Tier-2,,0
Chorus Homes Developments Limited,Tier-1,Wayleave Signed,0
Chosen Properties Limited,Tier-2,Newly Listed Grantor,0
Chotai Partnership Limited,Tier-2,,0
Choudhrey And Shah Investments Limited,Tier-2,,0
Chow Props Limited,Tier-2,,0
Chrisgate Holdings Limited,Tier-2,Newly Listed Grantor,0
Chris Shorey Lettings Limited,Tier-2,Newly Listed Grantor,0
"Christ Church, St Leonards On Sea House Improvement Society Limited",Tier-2,,0
Christchurch 442 Management Limited,Tier-2,,0
Christchurch Court Management Company Limited,Tier-1,Wayleave Negotiation Commenced,0
Christchurch Housing Society,Tier-1,Wayleave Signed,0
Christchurch Management (Newcastle) Limited,Tier-2,Newly Listed Grantor,0
Christchurch Old People's Welfare And Housing Society Limited,Tier-2,Initial Grantor Engagement,0
Christchurch Property Company Limited,Tier-2,,0
Christchurch Road,Tier-2,Wayleave Signed,0
Christchurch Square Limited,Tier-2,,0
Christ Church St Leonards on Sea House Improvement Society Limited C/O Francis,Tier-2,Wayleave Signed,0
Christine Homes Holdings Ltd,Tier-2,,0
Christopher Edward Cooper,Tier-2,Initial Grantor Engagement,0
Christopher John Properties Limited,Tier-2,,0
Christopher Wren Limited,Tier-2,,0
Chromeart Limited,Tier-2,Newly Listed Grantor,0
Chrome Classic Investments Limited,Tier-2,,0
Chromegrove Limited,Tier-2,,0
Chrome Holdings Limited,Tier-2,Newly Listed Grantor,0
Chrys Property Management Limited,Tier-2,,0
CHS Vehicles Limited,Tier-2,Initial Grantor Engagement,0
Chudleigh Court Management Co Limited,Tier-2,,0
Church Commissioners For England,Tier-2,,0
Church Court (Hazelrigg) Managements Limited,Tier-2,Newly Listed Grantor,0
Church Court (Kettering) Management Company Limited,Tier-2,,0
Church Farm Gardens Limited,Tier-1,,0
Churchfield Bournemouth Sales and Lettings Agent C/O Tsedoko Limited,Tier-2,Wayleave Signed,0
Churchfield Mews (Slough) Management Company Limited,Tier-2,,0
Churchgate Jewellers Limited,Tier-2,,0
Churchill Court Cheltenham (1990) Limited,Tier-2,,0
Churchill Lodge (Alum Chine) Freehold Limited,Tier-2,Newly Listed Grantor,0
Churchill Lodge Management Company Limited,Tier-2,Newly Listed Grantor,0
Churchill Retirement Living Limited,National,Wayleave Partially Signed,0
Churchill Road (Freehold) Limited,Tier-2,,0
Churchlands Limited,Tier-2,Newly Listed Grantor,0
Church Lane (Lincoln) Limited,,,0
Churchman House Residents Management Company,Tier-2,Wayleave Signed,0
Church Mansions Management Limited,Tier-2,Newly Listed Grantor,0
Church Meadows Goring-By-Sea Freehold Company Limited,Tier-2,,0
Church Mews Management Company (Thackley) Limited,Tier-2,,0
Church Of England Childrens Society,,,0
Church of England Soldiers Sailors and Airmans Association Limited,Tier-2,Wayleave Signed,0
Church Property Holdings Limited,Tier-2,Initial Grantor Engagement,0
Church Road SDS Limited,,Newly Listed Grantor,0
Church Street Developments Ltd,,Newly Listed Grantor,0
Church Views Associates RTE Limited,Tier-2,,0
Church Views Residents Limited,Tier-2,Wayleave Partially Signed,0
Church Walk Residents Association Limited,Tier-2,,0
Churton Court Limited,,Newly Listed Grantor,0
Churton House Management Company Limited,Tier-2,,0
Cimac Properties Limited,Tier-2,Newly Listed Grantor,0
Cinema Properties Limited,Tier-2,Wayleave Signed,0
Cinis One Limited,Tier-2,,0
Cinnabar Health Group Limited,Tier-2,,0
Cinque Ports Properties (UK) Limited,,Newly Listed Grantor,0
Cintra House (Management) Limited,Tier-2,Newly Listed Grantor,0
Circle (Leicester) Limited,Tier-2,Newly Listed Grantor,0
Circle Cars (UK) Limited,Tier-2,Newly Listed Grantor,0
Circleflint Residents Association Limited,Tier-2,Newly Listed Grantor,0
Circleflint Residents Association Limited C/O S.R Wood & Sons Ltd,Tier-2,Wayleave Partially Signed,0
Circle Red Properties (St James) Limited,Tier-2,Wayleave Signed,0
Circular Square Limited,Tier-2,Newly Listed Grantor,0
Cis Property Solutions Limited,Tier-2,Newly Listed Grantor,0
Cissbury Chase (Worthing) Management Company Limited,Tier-2,Wayleave Signed,0
Cissbury Road Hove Limited,Tier-2,,0
Citarep Limited,Tier-2,Newly Listed Grantor,0
Citation Pilot Services Limited,Tier-2,,0
Citiclient (CPF) Nominees Limited,Tier-2,,0
Citizen Housing Group Limited,National,Wayleave Partially Signed,0
Citu (Low Fold) Llp,Tier-2,Newly Listed Grantor,0
City & Metropolitan (Huddersfield) Limited,Tier-2,Wayleave Signed,0
City and Country Properties (Midlands) Limited,Tier-2,Initial Grantor Engagement,0
City And Country Properties Limited,Tier-2,,0
City And Suburban Investments Limited,Tier-2,,0
Citybay Investment Limited,Tier-2,,0
City Chase Limited,Tier-2,Newly Listed Grantor,0
Citycoast Church,,,0
CityCorp Holdings Inc,Tier-2,Initial Grantor Engagement,0
City Development Estates Limited,Tier-2,,0
City Electrical Factors (Iom) Limited,Tier-2,,0
City Estates (MK) Limited,Tier-2,Wayleave Signed,0
City Freeholds Limited,Tier-2,,0
City Fusion Limited,Tier-2,Wayleave Negotiation Commenced,0
City Gaming Limited,Tier-2,Initial Grantor Engagement,0
Citygate Property Partners Limited,Tier-2,Wayleave Signed,0
City Group (Leicester) Ltd,Tier-2,Initial Grantor Engagement,0
City Lets (North East) Limited,Tier-1,,0
Citylife Holdings 4 Limited,Tier-2,Newly Listed Grantor,0
Citylinked Limited,Tier-2,,0
Citylink Properties (UK) Limited,Tier-2,,0
City Living (Leicester) Limited,Tier-2,,0
City Living (Midlands) Limited,Tier-2,Newly Listed Grantor,0
City Living Developments (Ipswich) Limited,Tier-1,Wayleave Negotiation Commenced,0
City of Bradford Metropolitan District Council,Local Authority,Unresponsive / No Contact Received,0
City of Lincoln Council,Local Authority,Wayleave Partially Signed,0
City of Portsmouth,Tier-2,Newly Listed Grantor,0
City of Wolverhampton Housing Company Limited,Tier-2,,0
City Red (Holdings) Limited,Tier-2,Wayleave Negotiation Commenced,0
Cityregen LLP,Tier-2,,0
City Rights Properties Limited,Tier-2,,0
City Road Investments Limited,Tier-2,Newly Listed Grantor,0
City Road Properties (Chester) Limited,Tier-2,,0
Citystyle Living Limited,Tier-1,Initial Grantor Engagement,0
City Trust Properties Limited,,Newly Listed Grantor,0
City United Properties Limited,Tier-2,,0
Cityven (Bath) Limited,Tier-2,Newly Listed Grantor,0
City Village Limited,Tier-2,,0
Cityvine Limited,Tier-2,,0
City Walk (Derby) Limited,Tier-2,Wayleave Signed,0
City Walk Derby Management Company Limited,Tier-2,Initial Grantor Engagement,0
Civitas Spv103 Limited,Tier-2,Newly Listed Grantor,0
Civitas SPV114 Limited,Tier-2,,0
Civitas SPV118 Limited,Tier-2,Initial Grantor Engagement,0
Civitas Spv122 Limited,,Newly Listed Grantor,0
Civitas SPV149 Limited,Tier-2,,0
Civitas SPV155 Limited,Tier-2,,0
Civitas Spv23 Limited,,,0
Civitas Spv24 Limited,Tier-2,,0
Civitas SPV27 Limited,Tier-2,Initial Grantor Engagement,0
Civitas SPV39 Limited,Tier-1,,0
Civitas Spv53 Limited,Tier-2,Newly Listed Grantor,0
Civitas Spv54 Limited,Tier-2,,0
Civitas Spv92 Limited,Tier-2,Newly Listed Grantor,0
Civitas SPV95 Limited,Tier-2,Initial Grantor Engagement,0
Civitas Spv98 Limited,Tier-2,,0
C J Bowers & Son Limited,Tier-2,,0
CJD (Artillery Lane) Limited,Tier-2,,0
CJN Properties Limited,Tier-2,Newly Listed Grantor,0
C K Investments (Weston) Limited,Tier-2,Newly Listed Grantor,0
CKS Developments (Iow) Limited,Tier-2,Newly Listed Grantor,0
